[3-high hall note setup: (N text -- N):
 sets the t property, sets width to 10 tiles, nudges 10px upward]
{(t)(1b1a)ps(width)10bs0n10nm}(hallnotesetup)d
[Invisible trigger setup: (I -- I):
 stretches 1 tile downwards, triggers once on collide with player]
{(1+y)e(1 s onCollide|player)v}(invisibleinit)d
##########=#=##########=#################################################################################=##########=##  %
##########=#=##########=#####################################       Az   D   Dt  D   Dt  D              #=##########=##  % [--------] {(ud)1q}5l
##########=#=##########=#####################################    =         S   S   S   S          S     #=##########=##  % {180r}(S)5f (fl)1q [--------] {(ld)1q}4l
##########=#=##########=#########################################=#######################################=##########=##  %
##########=#=##########=#########################################=#######################################=##########=##  %
##########=#=    D     =        T(name)(setjmp)sz                =                                     SW=F#########=##  % 3g(1b1a)p(81-x)e1b0nm(windDirection)180sz90nrz1b0nmz
##########=#=          =#########################################= ################# ##=                 =##########=##  %
##########=############=   N                   ##            ####B#########     #### ##=############################=##  % 0n2bm(aa)0q2g2z (&msg.noMoreHelp)(hallnotesetup)iz
##########=#=    D     =                       DD(1b1a)ptAz  #### #########     #### ##=############################=##  % (2b1a)p (bb)0q2g2z
##########=#=          =                  S180r             =#### #########  #B #### ##=############################=##  % (1a3b1a)p 2g2z 3g3z
##########=#=###############################################=##############  ####### ##=############################=##  %
##########=#=###############################################=##############  ####### ##=############################=##  %
##########=#=###############################################=##############  ####### ##=############################=##  %
##########=#=###############################################=                ####### ##=############################=##  %
##########=#=###############################################=                ####### ##=############################=##  %
##########=#=####################################################################### ##=############################=##  %
##########=#=####################################################################### ##=############################=##  %
##########=#=      Az                                                                ##=############################=##  %
##########=#=                                                                      SW##=############################=##  %
##########=#########################################################################F##=############################=##  % 3gz(12-y)ez180rz
##########=#########################################################      D   Dt  D    =                 D  N       = #  % (t)(&msg.powerful)sz (fl)0q2g2z [--------] (ld)2q1z 7g7z
##########=#########################################################    S   S   S   S  =                      T     = #  % (name)(call/cc)sz [--------] {180r}(S)4f (ud)2q1z 9g9z
##########=############################################################################################################  %
##########=############################################################################################################  %
##########=############################################################################################################  %
##########=############################################################################################################  %
##########=#####################################      I  M          ###################################################  % 2g(&msg.noSecret)(hallnotesetup)iz(invisibleinit)iz
##########=####################################                     ###################################################  %
##########=###################################                      ###################################################  %
##########=###################################    #####################################################################  %
        %   %                                 %                                                                          %
        %   %                                  %                                                                         %
        %   %                                   %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
        %   %                                                                                                         N   (t)(&msg.secret)s0n1nbmz
        %   %                                                                                                             B (bd2)0q2g2z
        %   %
        %   %
        %   %
        %   %
        %   %
        %   %
        %   %
        %   %
        %   %
        %   %
        %   %
        %   %
        %   %
        %   %
        %   %
        %   %
        %   %
        %   %
        %   %
        %   %
        %   %
        %   %
        %   %
        %   %
        %   %
        %   %
        %   %
        % I % (bd)0q2g1z(1 s onCollide|player)v(1+x)e(1-x)ez
         ###
      N(t)(&msg.fellOut)s(width)12bs16nn0nmz
